Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BTN,514,Bhutan,Inflation,Headline Consumer Price Inflation,5.7,4.5,6.0,13.0,17.1,,,,-15.9,6.0,12.5,5.0,9.9,12.1,13.0,8.0,5.2,7.0,8.2,8.9,9.4,10.3,8.1,9.6,9.5,7.1,8.8,8.6,7.6,9.1,7.2,3.7,2.9,2.5,3.3,4.8,5.2,5.1,6.8,6.3,5.7,7.3,9.3,11.3,8.3,4.6,4.3,5.5,2.7,2.6,5.6,7.3,5.6
BWA,616,Botswana,Inflation,Headline Consumer Price Inflation,4.1,5.6,6.5,9.6,11.5,13.5,11.7,13.2,9.0,11.7,12.1,16.3,11.2,10.5,8.6,8.1,10.0,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.5,7.8,8.6,6.5,8.0,9.2,6.9,8.7,11.5,7.1,12.6,8.1,6.9,8.5,7.6,5.9,4.4,3.1,2.8,3.3,3.2,2.8,1.9,7.2,11.7
CAF,626,Central African Republic,Inflation,Headline Consumer Price Inflation,4.6,6.8,7.2,5.6,10.3,18.3,6.8,11.8,9.5,9.6,13.3,14.7,13.2,14.6,2.6,10.5,2.4,-7.0,-3.9,0.6,-0.2,-2.8,-0.8,-2.9,24.5,19.2,3.7,1.6,-1.9,-1.4,3.2,3.8,2.3,4.4,-2.2,2.9,6.7,0.9,9.3,3.5,1.5,1.2,5.9,6.6,11.6,4.5,4.0,4.5,1.6,2.7,2.3,4.3,5.6
CAN,156,Canada,Inflation,Headline Consumer Price Inflation,3.4,2.7,5.0,7.5,11.0,10.7,7.5,8.0,9.0,9.1,10.1,12.5,10.8,5.9,4.3,4.0,4.2,4.4,4.0,5.0,4.8,5.6,1.5,1.9,0.2,2.1,1.6,1.6,1.0,1.7,2.7,2.5,2.3,2.8,1.9,2.2,2.0,2.1,2.4,0.3,1.8,2.9,1.5,0.9,1.9,1.1,1.4,1.6,2.3,1.9,0.7,3.4,6.8
CHE,146,Switzerland,Inflation,Headline Consumer Price Inflation,3.6,6.6,6.7,8.8,9.8,6.7,1.7,1.3,1.0,3.6,4.0,6.5,5.7,2.9,2.9,3.4,0.8,1.4,1.9,3.2,5.4,5.9,4.0,3.3,0.9,1.8,0.8,0.5,0.0,0.8,1.6,1.0,0.6,0.6,0.8,1.2,1.1,0.7,2.4,-0.5,0.7,0.2,-0.7,-0.2,0.0,-1.1,-0.4,0.5,0.9,0.4,-0.7,0.6,2.8
CHL,228,Chile,Inflation,Headline Consumer Price Inflation,32.5,20.1,77.8,352.8,504.7,374.7,211.9,92.0,40.1,33.4,35.1,19.7,9.9,27.3,19.9,30.7,19.5,19.9,14.7,17.0,26.0,21.8,15.4,12.7,11.4,8.2,7.4,6.1,5.1,3.3,3.8,3.6,2.5,2.8,1.1,3.1,3.4,4.4,8.7,0.4,1.4,3.3,3.0,1.9,4.4,4.3,3.8,2.2,2.4,2.3,3.0,4.5,11.6
CHN,924,China,Inflation,Headline Consumer Price Inflation,1.1,1.0,1.0,1.0,0.9,1.1,0.3,2.5,0.7,1.9,6.0,2.5,2.0,2.0,2.7,9.5,5.7,7.2,18.9,18.2,3.0,3.6,6.4,14.6,24.3,16.8,8.3,2.8,-0.8,-1.4,0.3,0.7,-0.7,1.1,3.8,1.8,1.6,4.8,5.9,-0.7,3.2,5.6,2.6,2.6,1.9,1.4,2.0,1.6,2.1,2.9,2.4,0.9,2.0
CIV,662,Côte d'Ivoire,Inflation,Headline Consumer Price Inflation,8.2,-1.0,0.5,11.0,17.5,11.4,12.0,27.5,13.1,16.3,14.8,8.8,7.4,5.7,4.3,1.9,9.6,6.9,6.9,1.2,-0.8,1.6,4.3,2.1,26.2,14.2,2.4,4.0,4.7,0.8,2.5,4.3,3.1,3.3,1.4,3.9,2.5,1.9,6.3,0.8,1.4,4.9,1.3,2.6,0.5,1.2,0.7,0.7,0.4,0.8,2.4,4.1,5.3
CMR,622,Cameroon,Inflation,Headline Consumer Price Inflation,5.9,4.0,8.1,10.4,17.2,13.6,9.9,14.7,12.5,6.6,7.7,7.5,15.3,20.5,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.9,-3.7,12.7,25.8,3.9,4.8,3.2,1.8,1.2,4.4,2.8,0.6,0.3,2.0,4.9,1.1,5.3,3.0,1.3,2.9,2.4,2.1,1.8,2.7,0.9,0.6,1.1,2.5,2.4,2.3,6.2
COD,636,"Congo, Dem. Rep.",Inflation,Headline Consumer Price Inflation,8.0,5.8,15.8,15.6,29.5,28.7,80.4,68.9,48.8,101.1,40.0,34.9,37.1,76.7,52.6,23.5,46.7,90.4,82.7,104.1,81.3,2154.4,4129.2,1986.9,23773.1,541.8,617.0,199.0,29.1,284.9,550.0,357.3,25.3,12.8,4.0,21.5,12.8,16.7,18.0,46.1,23.5,14.9,0.9,0.9,1.2,1.0,18.2,35.8,29.3,4.7,11.5,9.0,9.0
COG,634,"Congo, Rep.",Inflation,Headline Consumer Price Inflation,1.4,4.1,9.9,3.2,5.6,17.3,7.2,14.5,10.1,8.1,7.3,0.8,3.5,3.5,3.5,3.5,3.5,3.5,-13.0,-9.6,0.3,9.4,-3.2,-4.1,7.5,6.3,7.4,12.7,2.2,3.0,0.5,0.8,3.0,1.7,3.7,2.5,3.7,2.6,6.0,4.3,0.4,1.8,5.0,4.6,0.9,3.2,3.2,0.4,1.2,2.2,2.5,2.0,3.0
