Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ESP,184,Spain,Inflation,Producer Price Inflation,,,,51.68,16.43,9.09,13.29,20.25,16.40,14.51,17.42,15.67,12.41,14.03,12.20,7.95,0.93,0.82,3.00,4.18,2.14,1.54,1.31,2.53,4.27,6.37,1.68,1.03,-0.67,0.69,5.43,1.66,0.35,0.72,3.15,4.50,5.10,3.18,5.74,-3.33,3.97,6.45,3.38,-0.06,-1.46,-1.48,-2.72,4.15,2.41,-0.31,-3.55,14.83,34.62
EST,939,Estonia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,25.59,14.79,8.81,4.23,-1.23,5.33,3.51,-0.16,0.19,2.87,2.13,4.40,8.25,7.03,-0.61,3.32,4.44,2.30,4.12,-1.57,-2.05,-0.71,3.60,2.64,-0.19,-2.44,12.47,26.96
ETH,644,Ethiopia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.20,-1.95,,,,,,3.05,10.65,4.43,,,,
FIN,172,Finland,Inflation,Producer Price Inflation,4.36,5.05,8.38,17.53,24.35,11.73,8.19,10.12,5.55,9.75,16.38,13.54,7.53,5.81,5.36,4.47,-5.18,0.88,4.06,5.22,3.35,0.29,1.10,2.96,1.37,1.17,-0.94,1.55,-1.46,-0.22,7.17,-0.43,-1.23,-0.13,1.57,3.76,5.69,4.03,5.65,-6.41,4.17,5.59,1.36,-0.37,-0.97,-1.96,-2.30,3.57,4.70,0.31,-4.65,12.71,24.22
FRA,132,France,Inflation,Producer Price Inflation,1.39,-19.70,,,,-4.94,,,,-14.88,,,,,26.85,,,,,,,,,,,,,,0.95,,5.09,2.20,0.47,0.63,1.87,2.98,3.18,2.12,4.63,-4.73,2.54,4.56,2.31,-0.02,-1.32,-1.64,-2.23,2.35,2.38,0.48,-1.92,8.67,23.09
GAB,646,Gabon,Inflation,Producer Price Inflation,11.28,4.04,4.90,7.17,22.45,15.03,17.34,14.41,8.92,5.93,15.66,10.25,14.70,8.01,7.35,11.79,-1.79,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,112,United Kingdom,Inflation,Producer Price Inflation,7.05,9.01,5.17,7.49,22.28,22.91,16.51,18.95,8.99,11.82,15.91,10.72,8.52,6.50,5.94,6.22,1.33,3.43,3.68,4.78,6.25,5.34,3.12,3.96,2.50,4.02,2.67,0.97,0.07,0.54,0.37,0.13,-0.40,0.20,2.59,7.90,6.42,1.60,14.73,-0.61,4.79,9.13,2.36,3.25,-7.37,-6.64,1.97,6.11,3.70,0.82,-0.06,5.04,18.52
GEO,915,Georgia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.67,5.77,3.07,6.32,3.34,4.64,7.45,10.82,11.59,9.76,-5.48,11.34,12.82,1.62,-2.00,2.86,7.50,-0.13,10.97,6.11,7.18,11.75,16.72,14.46
GHA,652,Ghana,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.76,15.46,18.62,18.54,17.13,9.35,35.98,12.78,10.94,5.52,6.42,8.10,9.02,10.76,
GMB,648,"Gambia, The",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,6.67,2.83,3.70,,,4.23,1.96,2.24,6.24,1.06,14.21,16.37
