Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note
BRB,316,Barbados,Inflation,Food Consumer Price Inflation,6.5,8.2,16.7,17.8,44.3,22.4,4.2,8.5,10.1,11.1,,14.9,7.3,2.7,4.0,5.2,2.4,4.6,6.5,9.1,4.0,4.8,0.3,-0.1,0.3,3.9,3.9,13.5,-4.3,2.5,2.5,5.2,1.8,2.8,4.5,7.0,7.9,7.1,13.5,6.7,3.7,,,,0.5,2.8,8.2,6.2,3.7,6.0,11.8,,12.0,,Food and non-acoholic beverage
BRN,516,Brunei Darussalam,Inflation,Food Consumer Price Inflation,1.0,0.0,-1.7,12.4,20.0,3.5,7.5,13.6,5.8,4.9,8.3,12.3,9.1,0.9,3.1,1.0,0.6,1.0,1.7,0.6,0.2,2.5,0.8,2.6,1.3,2.5,3.0,3.7,0.3,-0.2,0.0,0.5,0.3,-0.8,1.6,0.5,0.3,2.2,5.0,1.0,1.0,0.0,0.0,0.1,-0.2,0.8,-0.9,0.5,1.7,0.0,2.1,2.4,5.0,,Food and non-acoholic beverage
BTN,514,Bhutan,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,5.6,6.4,10.7,8.4,8.2,13.3,18.0,8.8,2.8,10.1,9.3,3.7,11.4,5.8,1.0,1.5,2.0,0.9,,5.7,5.0,8.1,11.9,9.0,8.8,,,6.9,10.1,3.3,14.1,-2.0,5.0,3.6,11.4,8.9,3.8,,Food and non-acoholic beverage
BWA,616,Botswana,Inflation,Food Consumer Price Inflation,4.9,-0.6,6.1,15.4,17.3,10.4,5.4,14.6,11.4,10.9,18.2,22.3,13.2,12.9,8.6,9.6,10.1,10.7,8.5,9.2,11.8,11.8,18.8,13.6,9.4,10.8,13.3,10.3,6.2,6.8,4.7,2.6,9.3,11.4,4.6,5.4,12.5,11.4,20.2,14.3,3.7,6.9,7.9,5.4,3.0,1.3,2.7,3.4,-0.5,1.4,3.7,7.1,10.1,,Food and Nonalcoholic Beverages
CAF,626,Central African Republic,Inflation,Food Consumer Price Inflation,1.5,8.1,9.6,5.8,11.0,15.5,7.1,15.0,8.2,9.3,16.4,9.0,7.5,23.5,0.1,10.6,0.0,-9.9,-4.1,1.0,0.7,-4.1,-1.1,-4.2,24.5,23.0,5.8,0.6,-2.7,-3.1,3.9,4.7,2.0,5.2,-4.6,3.5,7.2,1.9,11.4,3.6,1.4,1.1,7.1,9.0,14.8,4.7,4.4,,,,,5.4,,,Food and non-acoholic beverage
CAN,156,Canada,Inflation,Food Consumer Price Inflation,1.6,0.5,7.7,15.0,15.8,12.5,1.6,8.8,17.4,13.5,11.1,11.9,6.4,2.9,6.1,2.5,5.0,4.5,2.0,3.1,3.9,2.3,-1.4,1.8,0.1,2.7,1.2,1.5,1.6,1.1,1.1,4.8,2.5,1.4,1.8,2.3,2.3,2.6,3.9,5.5,0.9,4.2,2.4,1.1,2.5,4.1,1.0,-1.0,0.8,3.7,2.4,2.2,9.8,,Food and non-acoholic beverage
CHE,146,Switzerland,Inflation,Food Consumer Price Inflation,2.5,6.5,6.4,6.1,10.8,6.2,-1.5,1.4,4.0,3.7,6.9,10.5,6.8,2.2,3.8,2.6,0.8,0.8,2.2,1.1,5.5,4.4,0.1,-0.2,0.4,0.7,-0.5,0.7,0.8,-0.1,1.6,2.1,2.3,1.3,0.5,-0.7,0.0,0.5,3.1,-0.2,-1.1,-3.3,-1.0,1.2,0.9,-0.8,0.4,0.4,1.3,0.1,0.1,-1.6,1.7,,Food and non-acoholic beverage
CHL,228,Chile,Inflation,Food Consumer Price Inflation,35.4,23.8,115.2,376.5,513.7,359.6,212.8,86.2,34.6,31.1,36.1,14.2,3.6,25.8,21.1,28.3,23.9,24.1,13.3,20.8,26.0,25.8,18.0,10.9,9.8,8.3,6.1,7.2,3.7,0.3,1.2,0.6,1.9,3.2,-1.9,2.9,2.7,9.6,17.1,4.7,2.2,6.7,7.6,4.4,7.0,7.1,3.8,2.0,3.1,2.4,6.7,5.4,17.7,,Food and non-acoholic beverage
CHN,924,China,Inflation,Food Consumer Price Inflation,,,,,,0.3,0.0,0.1,0.1,2.8,10.6,-1.1,3.1,1.2,8.3,13.0,7.4,8.9,20.7,17.1,1.1,2.5,10.7,16.5,32.0,22.4,7.6,-0.1,-3.2,-4.2,-2.6,0.0,-0.7,3.4,9.8,2.8,2.5,12.4,14.4,0.7,7.3,11.9,4.9,4.7,3.1,2.5,4.5,-1.3,1.8,9.3,10.7,-1.7,2.5,,Food and non-acoholic beverage
CIV,662,Côte d'Ivoire,Inflation,Food Consumer Price Inflation,12.7,-1.8,-1.1,17.7,18.1,10.4,7.3,40.0,11.3,21.8,18.9,5.2,4.2,4.3,5.0,1.6,10.0,12.0,12.1,1.0,-1.3,2.5,3.3,3.4,22.5,22.5,9.2,9.2,9.2,-4.5,0.0,5.7,5.6,4.0,-3.8,2.5,3.0,5.4,11.6,3.4,5.8,10.4,-0.3,1.9,-2.1,2.0,3.0,0.3,-0.5,1.0,4.2,7.7,8.8,,Food and non-acoholic beverage
CMR,622,Cameroon,Inflation,Food Consumer Price Inflation,9.3,6.3,12.0,9.1,14.1,16.2,11.2,23.5,11.5,4.8,9.0,13.0,19.0,14.8,4.6,-0.7,1.3,5.7,0.5,-7.0,-10.2,-0.8,-1.8,-1.8,8.4,8.4,3.1,7.0,3.3,1.0,2.3,7.0,4.8,-0.7,-2.0,1.1,6.9,1.0,9.2,6.0,1.2,4.8,3.4,3.2,0.8,2.0,1.1,0.0,1.2,2.9,3.5,4.3,12.0,,Food and non-acoholic beverage
COD,636,"Congo, Dem. Rep.",Inflation,Food Consumer Price Inflation,10.2,10.3,20.2,16.5,29.5,30.2,98.1,76.9,57.0,96.8,21.3,39.2,,,,,,,,,,,,,,,,,,,,,,,,7.4,9.8,26.4,38.7,51.2,12.7,14.8,7.4,0.7,1.4,0.8,3.0,,,,,,,,Food and non-acoholic beverage
COG,634,"Congo, Rep.",Inflation,Food Consumer Price Inflation,0.7,4.9,10.2,5.0,5.7,16.0,6.1,6.1,15.2,15.2,4.8,13.9,16.8,9.7,12.5,5.3,-2.2,0.6,-5.8,-0.5,1.5,-3.8,-8.1,6.8,47.6,6.8,7.2,24.7,-0.4,4.8,-5.2,-1.7,4.7,-5.8,-6.3,5.4,10.1,7.3,8.1,7.5,-0.7,1.6,10.9,7.8,-4.1,4.1,3.0,,,,,3.0,6.2,,Food and non-acoholic beverage
COL,233,Colombia,Inflation,Food Consumer Price Inflation,5.9,12.8,15.3,29.5,29.0,27.1,20.1,43.2,12.5,22.7,28.9,28.6,25.4,20.6,15.6,31.5,19.3,26.8,32.6,24.7,26.8,30.3,30.2,15.9,20.9,19.2,15.9,15.8,22.5,6.2,9.6,9.8,9.8,8.1,6.4,6.4,5.6,8.4,12.4,3.6,0.2,4.6,3.4,0.4,3.0,8.6,13.1,0.7,0.8,4.9,5.6,9.7,25.0,,Food
COM,632,Comoros,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,4.6,5.9,2.4,4.1,1.6,1.0,9.5,4.7,-7.0,2.8,2.0,7.9,2.0,2.2,-0.3,,,3.2,,,,,,Food and non-acoholic beverage
CPV,624,Cabo Verde,Inflation,Food Consumer Price Inflation,9.5,21.0,12.2,14.1,52.6,27.2,1.2,12.4,27.4,,,,,,12.0,-1.1,13.0,4.3,3.1,9.1,12.0,9.4,8.7,3.7,1.9,11.4,5.5,10.1,4.6,3.5,-1.7,5.3,0.6,-0.1,-3.3,-0.1,6.5,5.0,9.1,2.1,2.2,5.2,2.6,0.7,-1.2,1.4,0.1,-0.2,0.5,1.4,3.7,0.6,14.9,,Food and non-acoholic beverage
CRI,238,Costa Rica,Inflation,Food Consumer Price Inflation,7.6,3.7,1.2,21.7,29.3,16.3,4.9,4.9,10.3,12.7,21.7,36.7,113.6,32.2,8.8,12.3,11.8,14.7,20.2,17.9,18.2,26.0,23.9,11.1,13.4,18.8,18.6,14.4,14.5,8.9,8.6,10.6,10.2,8.8,14.9,17.8,11.6,15.1,23.9,8.2,4.6,5.6,3.5,3.8,4.3,3.2,-0.8,1.7,1.6,0.8,0.5,2.2,15.0,,Food and non-acoholic beverage
CUW,354,Curacao,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.0,1.7,7.1,3.9,2.7,13.7,9.3,3.1,9.1,11.4,6.3,6.3,7.0,4.0,,,,,,,,Food and non-acoholic beverage
CYP,423,Cyprus,Inflation,Food Consumer Price Inflation,1.3,4.9,6.7,8.5,20.1,9.2,2.6,,5.7,6.7,14.6,11.5,8.1,4.3,8.4,4.7,2.9,2.9,4.1,4.6,4.7,6.8,7.8,2.0,1.3,1.3,3.1,5.2,4.1,2.1,5.5,4.1,4.6,5.1,4.0,1.6,4.8,5.6,7.6,3.7,0.2,4.1,0.8,0.2,-1.5,-0.3,-0.3,-0.3,0.7,0.4,1.2,-0.4,7.9,,Food and non-acoholic beverage
CZE,935,Czech Republic,Inflation,Food Consumer Price Inflation,0.2,-0.4,-0.2,0.1,0.2,-0.1,1.2,1.4,1.9,1.4,1.4,1.4,9.4,0.6,0.6,2.6,0.4,0.2,-0.3,0.1,11.1,45.2,9.6,16.1,10.1,11.1,8.0,4.4,4.4,-5.5,1.0,5.1,-1.9,-2.2,3.4,-0.3,0.9,4.7,8.1,-4.0,1.5,4.6,6.9,4.9,2.0,-1.1,-0.9,5.2,1.3,2.8,4.5,0.8,16.7,,Food and non-acoholic beverage
DEU,134,Germany,Inflation,Food Consumer Price Inflation,2.4,3.8,5.7,7.5,4.8,5.3,4.6,4.9,1.4,1.7,4.0,4.8,6.2,2.7,1.5,0.9,0.6,-0.5,0.2,2.3,3.0,2.7,2.1,0.5,1.6,1.0,0.6,1.4,1.1,-1.3,-0.7,4.5,0.8,-0.2,-0.3,0.0,2.0,3.8,6.1,-1.3,1.2,2.8,3.4,3.9,1.0,0.6,0.8,2.8,2.3,1.2,2.3,3.2,12.6,,Food and non-acoholic beverage
DJI,611,Djibouti,Inflation,Food Consumer Price Inflation,2.8,2.8,10.4,6.4,14.7,12.6,14.0,34.2,26.0,12.3,6.1,4.9,-6.4,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.3,3.1,6.0,1.9,1.7,5.7,6.4,,,,Food and non-acoholic beverage
DMA,321,Dominica,Inflation,Food Consumer Price Inflation,14.8,2.0,2.5,13.4,37.7,18.0,10.7,7.1,5.0,20.9,37.8,15.7,1.9,-0.5,1.7,0.3,2.2,8.4,3.1,8.0,-1.8,5.1,8.5,2.1,-1.2,1.7,1.9,3.6,0.0,0.3,-0.3,1.5,1.5,0.4,2.8,2.5,4.1,5.3,11.7,5.5,5.5,3.7,3.7,1.6,1.1,0.7,0.0,-0.2,2.2,1.9,0.6,,,,Food and non-acoholic beverage
DNK,128,Denmark,Inflation,Food Consumer Price Inflation,8.5,6.4,9.1,13.4,11.8,11.2,10.8,13.3,8.9,5.4,10.0,11.9,10.2,5.3,8.8,4.2,2.0,0.9,3.6,4.2,0.3,0.7,1.7,-0.3,2.9,3.1,1.7,3.5,2.1,0.7,2.5,3.9,2.2,1.4,-1.0,0.6,2.7,4.5,7.6,-0.1,0.4,4.0,4.3,0.4,-0.9,1.0,0.1,2.8,0.0,1.4,0.6,0.6,11.5,,Food and non-acoholic beverage
DOM,243,Dominican Republic,Inflation,Food Consumer Price Inflation,5.5,5.1,6.0,18.4,17.7,17.7,-2.8,9.3,-3.0,10.9,15.3,0.4,7.9,6.5,21.9,43.5,11.9,20.5,56.7,47.6,49.6,48.8,0.3,3.0,6.8,14.5,4.5,7.6,6.5,5.4,-0.1,4.4,4.6,27.8,71.2,-2.8,3.3,4.2,15.8,3.3,4.2,9.1,5.0,4.6,3.9,6.7,2.2,2.3,3.6,3.8,6.4,9.9,10.6,,Food and non-acoholic beverage
DZA,612,Algeria,Inflation,Food Consumer Price Inflation,5.6,2.7,4.0,11.2,7.1,11.5,14.4,15.9,19.1,13.5,10.9,18.3,7.4,5.4,7.6,12.4,17.0,7.6,3.8,9.1,23.8,21.1,25.9,23.7,41.1,28.8,21.7,4.8,6.9,0.9,-2.1,4.4,1.8,4.5,4.9,0.2,4.2,6.4,7.5,8.2,4.2,5.9,13.0,3.0,4.5,3.6,2.6,5.6,1.7,0.6,0.2,10.1,12.7,,Food and non-acoholic beverage
